,SEXO,EDAD,BECA18/REGULAR,MODALIDAD,CARRERA,TIPO_EBR,EBIO,EQUI,EFIS,EMAT,ECL
608,0,2,1,3,8,0,18,11,9,11,12
1485,1,3,1,5,9,1,0,0,0,0,0
1067,0,3,1,4,14,0,15,12,13,11,13
1187,1,2,1,4,7,0,0,0,0,0,0
835,0,2,1,5,13,0,0,0,0,0,0
756,0,3,1,4,5,0,17,12,6,3,16
801,0,2,1,4,17,1,0,0,0,0,0
1513,1,2,1,5,4,0,0,0,0,1,11
431,0,3,1,11,10,0,17,17,0,18,11
963,0,2,1,3,5,0,0,0,0,0,10
776,0,2,1,5,17,1,20,10,12,14,13
359,0,29,1,3,1,1,14,0,0,6,13
619,0,16,1,3,4,0,6,0,0,5,3
707,0,3,1,5,0,1,17,14,0,14,17
488,0,2,1,4,13,0,0,0,0,0,9
1043,0,6,1,3,4,1,0,0,0,0,0
1174,1,4,1,11,10,0,17,19,13,18,16
923,0,2,1,5,17,0,11,0,0,12,9
453,0,2,1,4,18,0,18,6,7,5,14
841,0,3,1,7,8,0,18,13,5,10,13
1157,1,3,1,7,8,0,19,11,6,12,12
970,0,2,1,5,15,0,0,0,0,0,13
1146,1,3,1,4,5,0,17,10,9,14,14
983,0,4,1,3,0,0,0,0,0,0,0
1392,1,3,1,4,0,0,0,0,0,0,0
432,0,3,1,3,12,0,12,1,3,1,12
386,0,2,1,5,4,0,16,13,0,14,14
952,0,3,1,5,11,0,14,10,12,12,14
329,0,2,1,5,11,0,18,12,11,10,13
1149,1,5,1,9,10,0,19,18,15,18,17
1069,0,4,1,4,6,0,16,7,0,5,13
1428,1,3,1,4,5,0,20,15,14,9,17
414,0,2,1,4,0,1,15,6,0,0,3
497,0,2,1,5,13,0,18,0,0,15,16
556,0,13,1,3,15,0,17,7,3,9,11
1106,1,3,1,5,3,0,14,11,7,4,11
785,0,3,1,5,6,0,15,12,0,13,0
583,0,3,1,4,18,0,8,5,3,3,7
346,0,2,1,5,11,0,18,16,0,14,15
795,0,2,1,4,13,0,0,0,0,0,0
930,0,2,1,3,13,1,15,0,0,13,12
1478,1,3,1,4,10,0,20,19,19,16,16
1099,1,2,1,4,14,0,19,13,8,11,16
1020,0,2,1,3,13,0,17,0,0,12,14
880,0,4,1,4,4,1,18,12,0,11,16
